path	subsystem	declared_owner	final_owner	language	physical_lines	function_definitions	global_definitions	static_functions	include_count	include_consumers	symbol_consumers	build_product	owner_boundary	mutable_state	resource_ownership	policy_ownership	abi_schema_ownership	failure_contract	independent_tests	execution_class	disposition	destination	justification
src/cli/model_artifacts/models.c	cli.model_artifacts	cli.model_artifacts.models	cli.model_artifacts.models	c	908	14	2	12	5	0	0	yvex	cli-workflow	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/model_artifacts/models.c	retains declared cli-workflow boundary for cli.commands
src/cli/model_artifacts/moe.c	cli.model_artifacts	cli.model_artifacts.moe	cli.model_artifacts.moe	c	578	9	2	7	2	0	0	yvex	cli-workflow	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/model_artifacts/moe.c	retains declared cli-workflow boundary for cli.commands
src/cli/model_artifacts/private.h	cli.model_artifacts	cli.model_artifacts.private	cli.model_artifacts.private	h	335	0	0	0	13	14	0	interface	private-interface	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/model_artifacts/private.h	retains declared private-interface boundary for cli.commands,cli.render
src/cli/model_artifacts/prepare.c	cli.model_artifacts	cli.model_artifacts.prepare	cli.model_artifacts.prepare	c	1505	37	3	34	5	0	0	yvex	cli-workflow	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/model_artifacts/prepare.c	retains declared cli-workflow boundary for cli.commands
src/cli/model_artifacts/tensors.c	cli.model_artifacts	cli.model_artifacts.tensors	cli.model_artifacts.tensors	c	700	12	2	10	2	0	0	yvex	cli-workflow	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/model_artifacts/tensors.c	retains declared cli-workflow boundary for cli.commands
src/cli/render/backend.c	cli.render	cli.render.backend	cli.render.backend	c	137	8	3	5	2	0	0	yvex	typed-projection	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/render/backend.c	retains declared typed-projection boundary for cli.commands,cli.model_artifacts
src/cli/render/common.c	cli.render	cli.render.common	cli.render.common	c	1562	54	32	22	9	0	0	yvex	typed-projection	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/render/common.c	retains declared typed-projection boundary for cli.commands,cli.model_artifacts
src/cli/render/graph.c	cli.render	cli.render.graph	cli.render.graph	c	1999	25	9	16	10	0	0	yvex	typed-projection	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	tests/unit/graph.c,tests/unit/cuda/graph.c	production	keep	src/cli/render/graph.c	retains declared typed-projection boundary for cli.commands,cli.model_artifacts
src/cli/render/model_artifacts.c	cli.render	cli.render.model_artifacts	cli.render.model_artifacts	c	1564	26	17	9	4	0	0	yvex	typed-projection	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/render/model_artifacts.c	retains declared typed-projection boundary for cli.commands,cli.model_artifacts
src/cli/render/model_target.c	cli.render	cli.render.model_target	cli.render.model_target	c	633	13	3	10	3	0	0	yvex	typed-projection	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/render/model_target.c	retains declared typed-projection boundary for cli.commands,cli.model_artifacts
src/cli/render/private.h	cli.render	cli.render.private	cli.render.private	h	161	0	0	0	16	12	0	interface	private-interface	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/render/private.h	retains declared private-interface boundary for cli
src/cli/render/source.c	cli.render	cli.render.source	cli.render.source	c	1115	18	6	12	4	0	0	yvex	typed-projection	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/render/source.c	retains declared typed-projection boundary for cli.commands,cli.model_artifacts
src/core/fs.c	core	core.fs	core.fs	c	1148	32	14	18	14	0	10	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	tests/unit/fs.c	production	keep	src/core/fs.c	retains declared file-serialization boundary for repository
src/core/sha256.c	core	core.sha256	core.sha256	c	203	9	7	2	4	0	54	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/core/sha256.c	retains declared reusable-algorithm boundary for repository
src/core/shard_index.c	core	core.shard_index	core.shard_index	c	80	4	4	0	2	0	1	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/core/shard_index.c	retains declared reusable-algorithm boundary for repository
src/core/status.c	core	core.status	core.status	c	382	27	26	1	8	0	119	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/status.c	production	keep	src/core/status.c	retains declared reusable-algorithm boundary for repository
src/provider/core.c	provider	provider.core	provider.core	c	916	33	13	20	7	0	5	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/provider/core.c	retains declared resource-lifecycle boundary for server.openai,server,applications
src/daemon/yvexd.c	daemon	daemon.yvexd	daemon.yvexd	c	274	6	1	5	7	0	0	yvexd	entrypoint	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/daemon/yvexd.c	retains declared entrypoint boundary for operator
src/gguf/conversion.c	gguf	gguf.conversion	gguf.conversion	c	1387	47	13	34	16	0	0	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/conversion.c	retains declared file-serialization boundary for artifact,model,quant
src/gguf/core.c	gguf	gguf.core	gguf.core	c	1334	63	35	28	6	0	14	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	strengthen	src/gguf/core.c	retained semantic owner absorbed one or more same-owner fragments
src/gguf/descriptor.c	gguf	gguf.descriptor	gguf.descriptor	c	253	8	3	5	4	0	2	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/descriptor.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/file_sink.c	gguf	gguf.file_sink	gguf.file_sink	c	1057	32	10	22	15	0	0	libyvex	transactional-io	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/file_sink.c	retains declared transactional-io boundary for artifact,model,quant
src/gguf/imatrix.c	gguf	gguf.imatrix	gguf.imatrix	c	1065	37	19	18	14	0	2	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	tests/unit/imatrix.c	production	keep	src/gguf/imatrix.c	retains declared file-serialization boundary for artifact,model,quant
src/gguf/layout_integrity.c	gguf	gguf.layout_integrity	gguf.layout_integrity	c	400	9	4	5	7	0	5	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/layout_integrity.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/qtype.c	gguf	gguf.qtype	gguf.qtype	c	352	14	11	3	6	0	20	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/qtype.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/quant_block.c	gguf	gguf.quant_block	gguf.quant_block	c	881	20	3	17	8	0	5	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/quant_block.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/quant_compute.c	gguf	gguf.quant_compute	gguf.quant_compute	c	181	6	4	2	5	0	5	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/quant_compute.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/quant_execute.c	gguf	gguf.quant_execute	gguf.quant_execute	c	1831	45	2	43	8	0	0	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/quant_execute.c	production	keep	src/gguf/quant_execute.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/quant_job.c	gguf	gguf.quant_job	gguf.quant_job	c	497	24	6	18	8	0	0	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	tests/unit/quant_job.c	production	keep	src/gguf/quant_job.c	retains declared file-serialization boundary for artifact,model,quant
src/gguf/quant_plan.c	gguf	gguf.quant_plan	gguf.quant_plan	c	1625	50	10	40	8	0	6	libyvex	immutable-planning	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/quant_plan.c	retains declared immutable-planning boundary for artifact,model,quant
src/gguf/quant_policy.c	gguf	gguf.quant_policy	gguf.quant_policy	c	1465	50	18	32	15	0	3	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	tests/unit/quant_policy.c	production	keep	src/gguf/quant_policy.c	retains declared file-serialization boundary for artifact,model,quant
src/gguf/quant_registry.c	gguf	gguf.quant_registry	gguf.quant_registry	c	169	9	8	1	3	0	14	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/quant_registry.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/variant.c	gguf	gguf.physical_variant	gguf.physical_variant	c	203	7	2	5	7	0	1	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/variant.c	retains declared file-serialization boundary for quant_plan,quant_execute,gguf_writer,operator
src/gguf/quant_scalar.c	gguf	gguf.quant_scalar	gguf.quant_scalar	c	262	10	9	1	6	0	8	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/quant_scalar.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/quant_sink.c	gguf	gguf.quant_sink	gguf.quant_sink	c	454	15	8	7	6	0	2	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/quant_sink.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/reader.c	gguf	gguf.reader	gguf.core	c	80	4	3	1	3	0	2	libyvex	bounded-parser	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	merge	src/gguf/core.c	implementation fragment folded into gguf.core; no independent lifecycle or consumer set
src/gguf/tokenizer_metadata.c	gguf	gguf.tokenizer_metadata	gguf.tokenizer_metadata	c	957	33	7	26	8	0	1	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/tokenizer_metadata.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/tools.c	gguf	gguf.tools	gguf.tools	c	953	36	9	27	15	0	0	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/tools.c	retains declared reusable-algorithm boundary for artifact,model,quant
src/gguf/writer.c	gguf	gguf.writer	gguf.writer	c	1107	38	6	32	12	0	3	libyvex	transactional-io	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	keep	src/gguf/writer.c	retains declared transactional-io boundary for artifact,model,quant
src/graph/attention.c	graph	graph.attention	graph.attention	c	1897	43	15	28	1	0	5	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/attention.c	retains declared reusable-algorithm boundary for runtime,cli
src/graph/candidate.c	graph	graph.candidate	graph.candidate	c	383	15	7	8	6	0	2	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/candidate.c	retains declared resource-lifecycle boundary for graph,runtime,tests
src/graph/moe.c	graph	graph.moe	graph.moe	c	578	20	8	12	10	0	5	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/moe.c	retains declared reusable-algorithm boundary for runtime,backend,cli,tests
src/graph/transformer.c	graph	graph.transformer	graph.transformer	c	481	15	10	5	7	0	7	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/transformer.c	retains declared reusable-algorithm boundary for runtime,backend,cli,tests
src/backend/cuda/moe.c	backend.cuda	backend.cuda.moe	backend.cuda.moe	c	705	16	4	12	5	0	1	libyvex	backend-implementation	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	defer-to-GB10-wave	src/backend/cuda/moe.c	independent CUDA toolchain/resource owner retained; physical optimization is out of this boundary
src/graph/core.c	graph	graph.core	graph.core	c	1684	53	33	20	5	0	9	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/core.c	retains declared resource-lifecycle boundary for runtime,cli
src/graph/families/deepseek_v4.c	graph.family	graph.family.deepseek_v4	graph.family.deepseek_v4	c	1998	41	3	38	8	0	4	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/families/deepseek_v4.c	retains declared reusable-algorithm boundary for graph
src/graph/memory_plan.c	graph	graph.memory_plan	graph.memory_plan	c	1888	57	28	29	4	0	10	libyvex	immutable-planning	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/memory_plan.c	production	keep	src/graph/memory_plan.c	retains declared immutable-planning boundary for runtime,cli
src/graph/numeric.c	graph	graph.numeric	graph.numeric	c	1328	40	14	26	1	0	5	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/numeric.c	retains declared reusable-algorithm boundary for runtime,cli
src/graph/plan.c	graph	graph.plan	graph.plan	c	1526	45	24	21	5	0	14	libyvex	immutable-planning	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/plan.c	retains declared immutable-planning boundary for runtime,cli
src/graph/private.h	graph	graph.private	graph.private	h	442	6	0	6	19	9	0	interface	private-interface	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/private.h	retains declared private-interface boundary for runtime,cli
src/graph/state_recipe.c	graph	graph.state_recipe	graph.state_recipe	c	156	5	1	4	3	0	5	libyvex	immutable-planning	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/state_recipe.c	retains declared immutable-planning boundary for model,graph,runtime,tests
src/io/writer.c	io	io.writer	io.writer	c	61	2	2	0	1	0	7	libyvex	transactional-io	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	keep	src/io/writer.c	retains declared transactional-io boundary for repository
src/model/artifacts/gate.c	model.artifacts	model.artifacts.gate	model.artifacts.gate	c	1265	29	11	18	16	0	0	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/model/artifacts/gate.c	retains declared reusable-algorithm boundary for cli,artifact
src/model/artifacts/ref.c	model.artifacts	model.artifacts.ref	model.artifacts.ref	c	394	10	4	6	9	0	1	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/model/artifacts/ref.c	retains declared reusable-algorithm boundary for cli,artifact
src/model/artifacts/registry.c	model.artifacts	model.artifacts.registry	model.artifacts.registry	c	1257	47	15	32	14	0	1	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	strengthen	src/model/artifacts/registry.c	retained semantic owner absorbed one or more same-owner fragments
src/model/artifacts/write.c	model.artifacts	model.artifacts.write	model.artifacts.registry	c	143	4	1	3	7	0	1	libyvex	transactional-io	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	merge	src/model/artifacts/registry.c	implementation fragment folded into model.artifacts.registry; no independent lifecycle or consumer set
src/model/compilation/binding.c	model.compilation	model.compilation.binding	model.compilation.binding	c	696	29	12	17	7	0	4	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/model/compilation/binding.c	retains declared resource-lifecycle boundary for model.family,quant
src/model/compilation/ir.c	model.compilation	model.compilation.ir	model.compilation.ir	c	1720	53	25	28	8	0	10	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/model/compilation/ir.c	retains declared reusable-algorithm boundary for model.family,quant
src/model/compilation/ir_identity.c	model.compilation	model.compilation.ir_identity	model.compilation.ir_identity	c	887	20	2	18	6	0	2	libyvex	canonical-identity	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/model/compilation/ir_identity.c	retains declared canonical-identity boundary for model.family,quant
src/model/compilation/ir_validate.c	model.compilation	model.compilation.ir_validate	model.compilation.ir_validate	c	1198	24	1	23	6	0	1	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/model/compilation/ir_validate.c	retains declared reusable-algorithm boundary for model.family,quant
src/model/core.c	model	model.core	model.core	c	1339	53	42	11	20	0	13	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/model/core.c	retains declared resource-lifecycle boundary for artifact,graph,runtime
include/yvex/internal/families/deepseek_v4.h	model	model.families.deepseek_v4	model.families.deepseek_v4	h	597	0	0	0	7	18	0	interface	family-interface	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/families/deepseek_v4.h	retains declared family-interface boundary for artifact,graph,runtime
src/model/families/deepseek_v4.c	model.family	model.family.deepseek_v4	model.family.deepseek_v4	c	1691	50	2	48	11	0	13	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/model/families/deepseek_v4.c	retains declared reusable-algorithm boundary for model,graph,gguf
src/runtime/descriptor.c	runtime	runtime.descriptor	runtime.descriptor	c	723	16	9	7	9	0	14	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/descriptor.c	retains declared resource-lifecycle boundary for artifact,graph,runtime
src/runtime/binding.c	runtime	runtime.binding	runtime.binding	c	1962	47	8	39	13	0	3	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/binding.c	retains declared file-serialization boundary for artifact,graph,runtime,cli
src/runtime/decode.c	runtime	runtime.decode	runtime.decode	c	817	20	8	12	8	0	3	libyvex	transactional-execution	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/decode.c	retains declared transactional-execution boundary for runtime,cli,tests
src/runtime/generation.c	runtime	runtime.generation	runtime.generation	c	1989	43	2	41	9	0	2	libyvex	transactional-execution	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/generation.c	retains declared transactional-execution boundary for runtime,cli,tests
src/runtime/generation_context.c	runtime	runtime.generation_context	runtime.generation_context	c	517	8	3	5	10	0	2	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/generation_context.c	retains declared resource-lifecycle boundary for runtime,generation,tests
src/runtime/generation_result.c	runtime	runtime.generation_result	runtime.generation_result	c	917	22	17	5	5	0	2	libyvex	typed-report	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/generation_result.c	retains declared typed-report boundary for runtime,cli,tests
src/graph/execution.c	graph	graph.execution	graph.execution	c	735	21	11	10	6	0	8	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/execution.c	retains declared reusable-algorithm boundary for compilation,artifact,runtime,backend,tests
src/runtime/speculation.c	runtime	runtime.speculation	runtime.speculation	c	1973	44	12	32	13	0	2	libyvex	proposal-verification-acceptance	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	tests/unit/speculation.c	production	keep	src/runtime/speculation.c	retains declared proposal-verification-acceptance boundary for runtime,generation,tests
src/runtime/logits.c	runtime	runtime.logits	runtime.logits	c	1644	40	17	23	12	0	5	libyvex	transactional-execution	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	tests/reference/logits.c	production	keep	src/runtime/logits.c	retains declared transactional-execution boundary for runtime,backend,cli,tests
src/runtime/sampling.c	runtime	runtime.sampling	runtime.sampling	c	1989	60	16	44	10	0	4	libyvex	transactional-execution	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	tests/reference/sampling.c	production	keep	src/runtime/sampling.c	retains declared transactional-execution boundary for runtime,cli,tests
src/runtime/session.c	runtime	runtime.session_transactions	runtime.session_transactions	c	908	14	10	4	8	0	6	libyvex	transactional-execution	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/session.c	retains declared transactional-execution boundary for runtime,generation,graph,tests
src/runtime/moe.c	runtime	runtime.moe	runtime.moe	c	1268	29	8	21	9	0	1	libyvex	transactional-execution	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/moe.c	retains declared transactional-execution boundary for runtime,graph,backend,cli,tests
src/runtime/moe_input.c	runtime	runtime.moe_input	runtime.moe_input	c	551	23	9	14	11	0	1	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/moe_input.c	retains declared file-serialization boundary for runtime,cli,tests
src/runtime/benchmark.c	runtime	runtime.benchmark	runtime.benchmark	c	1649	51	7	44	14	0	1	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/benchmark.c	retains declared file-serialization boundary for runtime,cli,tests
include/yvex/internal/runtime_prefill.h	runtime	runtime.prefill	runtime.prefill	h	141	0	0	0	1	2	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	tests/unit/runtime_prefill.c	production	keep	include/yvex/internal/runtime_prefill.h	retains declared internal-abi boundary for runtime,graph,cli,tests
src/runtime/prefill.c	runtime	runtime.prefill	runtime.prefill	c	1479	39	11	28	11	0	1	libyvex	transactional-execution	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/prefill.c	retains declared transactional-execution boundary for runtime,graph,cli,tests
include/yvex/internal/transformer.h	graph	graph.transformer	graph.transformer	h	307	0	0	0	2	6	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/transformer.h	retains declared internal-abi boundary for graph,runtime,cli,tests
src/runtime/transformer.c	runtime	runtime.transformer	runtime.transformer	c	1988	42	9	33	11	0	5	libyvex	transactional-execution	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/transformer.c	retains declared transactional-execution boundary for runtime,graph,cli,tests
src/runtime/transformer_input.c	runtime	runtime.transformer_input	runtime.transformer_input	c	397	18	8	10	11	0	5	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/transformer_input.c	retains declared file-serialization boundary for runtime,cli,tests
src/runtime/residency.c	runtime	runtime.residency	runtime.residency	c	1503	36	16	20	12	0	8	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/residency.c	retains declared resource-lifecycle boundary for artifact,graph,runtime
include/yvex/internal/graph_state.h	graph	graph.state	graph.state	h	296	0	0	0	1	11	0	interface	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/graph_state.h	retains declared resource-lifecycle boundary for graph,runtime,tests
src/graph/state.c	graph	graph.state	graph.state	c	1997	71	1	70	10	0	2	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/graph/state.c	retains declared resource-lifecycle boundary for graph,runtime,tests
src/model/target/candidates.c	model.target	model.target.candidates	model.target.report	c	530	16	1	15	2	0	1	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	merge	src/model/target/report.c	implementation fragment folded into model.target.report; no independent lifecycle or consumer set
src/model/target/catalog.c	model.target	model.target.catalog	model.target.catalog	c	848	28	7	21	6	0	12	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/model/target/catalog.c	retains declared reusable-algorithm boundary for model,cli
src/model/target/decision.c	model.target	model.target.decision	model.target.report	c	242	9	1	8	2	0	1	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	merge	src/model/target/report.c	implementation fragment folded into model.target.report; no independent lifecycle or consumer set
